host,weekend,owner,category,id,title,cmd
null,Test Schedule,Test owner,Category,ID,Title,Cmd Line
null,WW27,"Jiang, ShengqingX",RMT,14016393988,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_5600,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Slow rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016397256,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_5200,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Slow rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016397328,MEM_EV_EMR_DDR5_RMT_SLOW_COLD_RESET_4800,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Slow rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398159,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_5600,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Fast rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398184,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_5200,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Fast rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398226,MEM_EV_EMR_DDR5_RMT_FAST_COLD_RESET_4800,python harness_main.py --test BSSA_RMT_COLD_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Fast rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398367,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_5600,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_5600_Slow rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398419,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_5200,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_5200_Slow rmt_reset_count=10 --subsystem=MSS
null,WW27,"Jiang, ShengqingX",RMT,14016398452,MEM_EV_EMR_DDR5_RMT_SLOW_WARM_RESET_4800,python harness_main.py --test BSSA_RMT_WARM_RESET bdat=True bios_knobs_cfg=rmt_EMR_4800_Slow rmt_reset_count=10 --subsystem=MSS
null,WW33,"Jiang, ShengqingX",DM,16020903403,DM_MEM_LOCK_STRESS_PM-native-SNC_disabled,python harness_main.py --test MixedWorkload sync_tools=dm_mem bios_knobs_cfg=SNC_disabled test_config_dm=pm_mem_lock_stress.cfg test_name=pm_mem_lock_stress --regular_itp_unlock --machinecheckbreak --subsystem=MSS
H0802,WW33,"Li, DongwangX",Stress,22015834293,CACHE_MLC-C2C-001-native-SNC_disabled,"python harness_main.py --subsystem=MSS --test_config C2C-MLC.JSON --test GenericWorkload wl_test_name=C2C-MLC-001 extra_json_params=""[_main_test,stage_run_c2cmlc,--test=C2C-MLC-001]"" bios_knobs_cfg=SNC_disabled"
null,WW33,"Jiang, ShengqingX",KVM,16016004002,MEM_KVMMIXES-009-native-SNC_disabled,"python harness_main.py --test_config KVM-MIX.JSON --test GenericWorkload sync_tools=mlc,stream wl_test_name=MEM-KVMMIXES-009  extra_json_params=""[_main_test,stage_run_kvm_mix, --mode=LM2 --os=CENTOS --vm_mix_type=3 --vm_password=intel123]"" bios_knobs_cfg=SNC_disabled --subsystem=MSS"
null,WW33,"Jiang, ShengqingX",KVM,16016004007,MEM_KVMSCHMOO-001-native-SNC_disabled,"python harness_main.py   --test_config KVM-SCHMOO.JSON --test GenericWorkload sync_tools=mlc,stream wl_test_name=MEM-KVMSCHMOO-001 extra_json_params=""[_main_test,stage_run_kvm_schmoo, --time=120 --os=CENTOS --mode=LM2 --workload=MLC --apply_WA --vm_password=intel123 ]"" bios_knobs_cfg=SNC_disabled --subsystem=MSS"
H0701,WW33,"Li, DongwangX",Stress,22015834328,CACHE_MLC-C2C-002-native-SNC2,"python harness_main.py --subsystem=MSS --test_config C2C-MLC.JSON --test GenericWorkload wl_test_name=C2C-MLC-002 extra_json_params=""[_main_test,stage_run_c2cmlc,--test=C2C-MLC-002]"" bios_knobs_cfg=SNC2"
H0802,WW33,"Li, DongwangX",Stress,22015834359,CACHE_MLC-C2C-003-native-SNC_disabled,"python harness_main.py --subsystem=MSS --test_config C2C-MLC.JSON --test GenericWorkload wl_test_name=C2C-MLC-003 extra_json_params=""[_main_test,stage_run_c2cmlc,--test=C2C-MLC-003]"" bios_knobs_cfg=SNC_disabled"
